id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
0,Q de Kock (SA),2014-2017,4,72,42.56944444,178,45.74,96.8,0.125,0.208333333,0.125078964,NA
1,Babar Azam (PAK),2015-2017,3,35,50.22857143,125,58.6,85.88,0.2,0.2,0.075232047,NA
2,Ahmed Shehzad (PAK),2014-2016,3,35,34.97142857,113,34.97,75.55,0.057142857,0.228571429,0.087037037,NA
3,MR Marsh (AUS),2014-2016,3,35,32.05714286,102,40.07,93.65,0.028571429,0.228571429,0.105175292,NA
4,TWM Latham (NZ),2014-2017,4,40,27.175,137,31.05,80.39,0.05,0.125,0.085798817,NA
5,N Dickwella (SL),2014-2017,4,31,32.5483871,116,33.63,93.86,0.064516129,0.161290323,0.111627907,NA
6,Soumya Sarkar (BDESH),2014-2017,4,31,31.19354839,127,34.53,96.6,0.032258065,0.193548387,0.140859141,NA
7,Rahmat Shah (AFG),2014-2017,4,28,34.03571429,108,36.65,68.21,0.071428571,0.214285714,0.052970651,NA
8,Najibullah Zadran (AFG),2014-2017,4,31,21.96774194,89,23.48,83.66,0,0.161290323,0.103194103,NA
9,Sabbir Rahman (BDESH),2014-2016,3,25,24.92,65,29.66,95.11,0,0.12,0.119083969,NA
10,BA Stokes (ENG),2014-2016,3,28,21.35714286,70,23,94.47,0,0.142857143,0.107424961,NA
11,Javed Ahmadi (AFG),2014-2016,3,19,26.68421053,81,26.68,82.84,0,0.263157895,0.111111111,NA
12,MH Cross (SCOT),2014-2017,4,26,18.23076923,91,18.23,75,0,0.076923077,0.088607595,NA
13,Nizakat Khan (HKG),2014-2017,4,12,39,94,39,84.93,0,0.166666667,0.103448276,NA
14,JO Holder (WI),2014-2016,3,25,18.68,57,25.94,99.57,0,0.08,0.121535181,NA
15,Mohammad Rizwan (PAK),2015-2017,3,22,20.90909091,75,28.75,89.84,0,0.136363636,0.083984375,NA
16,MW Machan (SCOT),2014-2016,3,14,31.78571429,86,31.78,78.48,0,0.214285714,0.077601411,NA
17,Nasir Hossain (BDESH),2014-2016,3,22,20.13636364,41,22.15,78.96,0,0,0.07486631,NA
18,Babar Hayat (HKG),2014-2016,3,12,35.41666667,82,38.63,80.79,0,0.416666667,0.108365019,NA
19,MJ Santner (NZ),2015-2017,3,22,16.90909091,48,26.57,90.95,0,0,0.090464548,NA
20,L Siaka (PNG),2014-2017,4,13,22.15384615,109,22.15,80,0.076923077,0,0.094444444,NA
21,Afsar Zazai (AFG),2014-2017,4,16,16.5,60,17.6,54.09,0,0.125,0.030737705,NA
22,GH Dockrell (IRE),2014-2017,4,24,10.5,28,14.82,66.14,0,0,0.052493438,NA
23,Aizaz Khan (HKG),2014-2017,4,10,21,44,26.25,78.06,0,0,0.066914498,NA
24,AR Patel (INDIA),2014-2017,4,20,9.05,38,12.92,95.26,0,0,0.084210526,NA
25,AR McBrine (IRE),2014-2017,4,12,14.58333333,79,21.87,88.38,0,0.083333333,0.085858586,NA
26,MJ Henry (NZ),2014-2016,3,13,12.69230769,48,20.62,104.43,0,0,0.139240506,NA
27,Liton Das (BDESH),2015-2017,3,12,13.75,36,15,76.74,0,0,0.097674419,NA
28,K Rabada (SA),2015-2017,3,16,10,26,20,83.76,0,0,0.089005236,NA
29,AF Milne (NZ),2014-2016,3,11,10.72727273,36,19.66,91.47,0,0,0.069767442,NA
30,PJ Cummins (AUS),2014-2017,4,14,7.642857143,36,11.88,68.15,0,0,0.070063694,NA
31,N Madziva (ZIM),2014-2016,3,12,5.583333333,25,7.44,48.55,0,0,0.043478261,NA
32,Taskin Ahmed (BDESH),2015-2017,3,11,3.636363636,14,5,43.01,0,0,0.021505376,NA
33,PKD Chase (IRE),2015-2017,3,14,2.214285714,14,3.44,59.61,0,0,0.057692308,NA
